Part,Value,Device,Package,Model
C1,47u,CC1210,C1210,
C2,100n,C,C0805,
C3,22u,CC1210,C1210,
D1,Blue,LEDCHIPLED_0603,CHIPLED_0603,FYLS-0603UBC 
D2,Green,LEDCHIPLED_0603,CHIPLED_0603,CL-197HG5-CF
D3,Blue,LEDCHIPLED_1206,CHIPLED_1206,FYLS-1206UBC
D4,Green,LEDCHIPLED_1206,CHIPLED_1206,FYLS-1206PGC 
D5,Red,LEDCHIPLED_1206,CHIPLED_1206,FYLS-1206URC
D9,,DIODE-SOD323-W,SOD323-W,BAS3010A03WE6327HTSA1 
IC1,CP2101,CP2101,MLP28,
J1,USB_MINI-B_SMT,USB_MINI-B_SMT,USB-MINIB,
J3,,JACK-PLUG0,SPC4077, NINIGI PC-GK2.1 
JP1,,PINHD-1X3/90,1X03/90, FCI 76382-303LF 
JP2,,PINHD-1X3/90,1X03/90, FCI 76382-303LF 
JP3,,PINHD-1X3/90,1X03/90, FCI 76382-303LF 
JP4,,PINHD-1X8,1X08,
R1,470R,R-EU_R0805,R0805,
R2,470R,R-EU_R0805,R0805,
R3,100k,R-EU_R0805,R0805,
R4,100k,R-EU_R0805,R0805,
R5,100k,R-EU_R0805,R0805,
R6,470R,R-EU_R0805,R0805,
R7,470R,R-EU_R0805,R0805,
R8,10k,R-EU_R0805,R0805,
R9,10k,R-EU_R0805,R0805,
R10,10R,R-EU_R0805,R0805,
R11,4.7k,R-EU_R0805,R0805,
R12,470R,R-EU_R0805,R0805,
R13,1k,R-EU_R0805,R0805,
R14,470R,R-EU_R0805,R0805,
R15,4.7k,R-EU_R0805,R0805,
R17,100k,R-EU_R0805,R0805,
R19,220R,R-EU_R0805,R0805,
R20,220R,R-EU_R0805,R0805,
R21,220R,R-EU_R0805,R0805,
T1,,NMOSSOT23,SOT-23,TSM2312CX
T2,,NMOSSOT23,SOT-23,TSM2312CX
T3,,NMOSSOT23,SOT-23,TSM2312CX
T4,,NMOSSOT23,SOT-23,2N7002
T5,,NMOSSOT23,SOT-23,2N7002
U$1,QUAD_OPTOCOUPLER,QUAD_OPTOCOUPLER,SO16,TCMT4100
U$2,VOCORE2,VOCORE2,VOCORE2,
U$3,LD-BZEG-0905,LD-BZEG-0905,LD-BZEG-0905,LD-BZEG-0905
U$4,1X6,1X6,1X6,
U$5,AP1509,AP1509,SOP08,
U$6,BZX84J,BZX84J,SOD323_ST,BZX84J-B3V6.115 
U$7,33uH,DJNR6028,DJNR6028,
U$8,BZX84J,BZX84J,SOD323_ST,BZX84J-B3V6.115 
U$9,BZX84J,BZX84J,SOD323_ST,BZX84J-B3V6.115 
U$10,SN005,SN005,R1206, ECE SN005-60 
U$11,SN005,SN005,R1206, ECE SN005-60 
U$12,SN005,SN005,R1206, ECE SN005-60 
X1,1503_08,1503_08,1503_08,
X2,1503_08,1503_08,1503_08, LUMBERG 1503 08 
X3,1501_03,1501_03,1501_03,1501-03
